transaction_id,transaction_date,merchant_name,amount_usd,status_clean,risk_score_clean,gateway_region_clean,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,4998,CAPTURED,62,APAC,1,0
T002,2026-03-01,Alpha Mart,2499,CAPTURED,55,UNKNOWN,0,0
T003,2026-03-01,Beta Stores,6069,CAPTURED,71,APAC,1,1
T004,2026-03-02,Beta Stores,1920,FAILED,68,APAC,1,0
T005,2026-03-02,Alpha Mart,4680,CAPTURED,58,UNKNOWN,0,0
T006,2026-03-02,Beta Stores,3300,CAPTURED,64,UNKNOWN,0,0
T007,2026-03-02,Alpha Mart,5400,OTHER,83,APAC,1,1
T008,2026-03-03,Beta Stores,4114,CAPTURED,59,UNKNOWN,0,0
T009,2026-03-03,Alpha Mart,1512.5,CAPTURED,46,APAC,1,0
T010,2026-03-03,Beta Stores,7381,CAPTURED,77,UNKNOWN,0,1
T011,2026-03-03,Alpha Mart,2359.5,FAILED,0,UNKNOWN,0,0
T012,2026-03-04,Beta Stores,3000,CAPTURED,61,APAC,1,0
T013,2026-03-04,Alpha Mart,3720,CAPTURED,54,APAC,1,0
T014,2026-03-04,Beta Stores,5640,CAPTURED,73,APAC,1,1
T015,2026-03-04,Alpha Mart,1560,CAPTURED,52,UNKNOWN,0,0
T016,2026-03-05,Beta Stores,2596,FAILED,69,UNKNOWN,0,0
T017,2026-03-05,Beta Stores,2124,FAILED,72,APAC,1,1
T018,2026-03-05,Beta Stores,1711,OTHER,86,APAC,1,1
T019,2026-03-05,Alpha Mart,3068,FAILED,67,APAC,1,0
T020,2026-03-05,Alpha Mart,6136,CAPTURED,75,APAC,1,1
T021,2026-03-06,Beta Stores,3927,CAPTURED,63,UNKNOWN,0,0
T022,2026-03-06,Alpha Mart,4879,CAPTURED,60,APAC,1,0
T023,2026-03-01,City Pharma,5616,CAPTURED,42,EU,0,0
T024,2026-03-02,Eco Home,6649,OTHER,65,EU,1,1
T025,2026-03-03,City Pharma,3024,CAPTURED,38,EU,0,0
T026,2026-03-05,Eco Home,3597,FAILED,44,EU,0,0
T027,2026-03-01,Delta Travels,7200,CAPTURED,49,US,1,0
T028,2026-03-02,Delta Travels,3100,CAPTURED,41,US,0,0
T029,2026-03-04,Delta Travels,2500,OTHER,58,US,0,1
T030,2026-03-06,Delta Travels,1800,FAILED,47,US,0,0
